Fuente	xi	k	D'(as)	q'	dq'	\Pi'	d\Pi'	r14	dr14	N6(HA)	\beta	i (deg)	di (deg)	sec(i)	q	D(as)	R0(as)	r0	N6	dN6+	dN6-	R0/r0	P(in)+	P(in)-	P(wind)	P(in)/P(wind)+	P(in)/P(wind)-	F(photo)+	F(photo)-	F(star)	F(ph)/F(*)+	F(ph)/F(*)-	*
LV2	0.8	0.5	7.76	0.25	0.01	1.5	0.05	7.1	0.4	2.53	0.005	65	2.5	2.37 +/- 0.22	0.07	18.4 +/- 1.7	1.29 +/- 0.12	0.115 +/- 0.007	2.67	1.24	0.30	11.22 +/- 1.25	1.1e-7 +/- 5.7e-8	1.1e-7 +/- 2.8e-8	1.9e-8 +/- 3.5e-9	5.79 +/- 3.18	5.79 +/- 1.82	1.61e14 +/- 1.47e14	1.61e14 +/- 3.69e13	3.06e13 +/- 5.66e12	5.26 +/- 4.90	5.26 +/- 1.55	x
LV2	0.8	0.5	7.76	0.25	0.01	1.5	0.05	7.1	0.4	2.53	0.002	67.5	2.5	2.61 +/- 0.28	0.04	20.3 +/- 2.2	0.81 +/- 0.09	0.115 +/- 0.007	2.67	1.24	0.30	7.04 +/- 0.89	2.8e-7 +/- 1.5e-7	2.8e-7 +/- 7.8e-8	1.4e-8 +/- 3.1e-9	20.00 +/- 11.59	20.00 +/- 7.12	1.61e14 +/- 1.47e14	1.61e14 +/- 3.69e13	2.52e13 +/- 5.45e12	6.39 +/- 5.99	6.39 +/- 2.01	x
LV2	0.4	3.0	7.76	0.28	0.01	1.2	0.05	7.1	0.4	2.53	0.02	45	2.5	1.41 +/- 0.06	0.12	10.9 +/- 0.5	1.31 +/- 0.06	0.115 +/- 0.007	2.67	1.24	0.30	11.39 +/- 0.87	1.1e-7 +/- 5.3e-8	1.1e-7 +/- 2.1e-8	6.0e-8 +/- 5.5e-9	1.83 +/- 0.90	1.83 +/- 0.39	1.61e14 +/- 1.47e14	1.61e14 +/- 3.69e13	8.73e13 +/- 8.01e12	1.84 +/- 1.69	1.84 +/- 0.46	**
LV2	0.4	3.0	7.76	0.26	0.01	1.45	0.05	7.1	0.4	2.53	0.001	82.5	2.5	7.66 +/- 2.54	0.03	59.4 +/- 19.7	1.78 +/- 0.59	0.115 +/- 0.007	2.67	1.24	0.30	15.48 +/- 5.22	5.9e-8 +/- 4.8e-8	5.9e-8 +/- 4.0e-8	1.7e-9 +/- 1.1e-9	34.71 +/- 36.08	34.71 +/- 32.53	1.61e14 +/- 1.47e14	1.61e14 +/- 3.69e13	2.94e12 +/- 1.95e12	54.76 +/- 61.80	54.76 +/- 38.43	xx
LV2	0.2	8.0	7.76	0.3	0.01	0.85	0.05	7.1	0.4	2.53	0.1	40	2.5	1.31 +/- 0.05	0.24	10.2 +/- 0.4	2.45 +/- 0.10	0.115 +/- 0.007	2.67	1.24	0.30	21.30 +/- 1.56	3.1e-8 +/- 1.5e-8	3.1e-8 +/- 5.7e-9	9.1e-8 +/- 7.2e-9	0.34 +/- 0.17	0.34 +/- 0.07	1.61e14 +/- 1.47e14	1.61e14 +/- 3.69e13	9.97e13 +/- 7.82e12	1.61 +/- 1.48	1.61 +/- 0.39	**
LV2	0.2	8.0	7.76	0.25	0.01	1.45	0.05	7.1	0.4	2.53	0.0005	87.5	2.5	22.93 +/- 22.91	0.02	177.9 +/- 177.8	3.56 +/- 3.56	0.115 +/- 0.007	2.67	1.24	0.30	30.96 +/- 31.01	1.5e-8 +/- 3.0e-8	1.5e-8 +/- 2.9e-8	1.8e-10 +/- 3.6e-10	83.33 +/- 235.70	83.33 +/- 231.81	1.61e14 +/- 1.47e14	1.61e14 +/- 3.69e13	3.28e11 +/- 6.55e11	490.85 +/- 1077.81	490.85 +/- 986.65	xx
LV2	0.2	8.0	7.76	0.31	0.01	0.85	0.05	7.1	0.4	2.53	0.1	42.5	2.5	1.36 +/- 0.05	0.24	10.6 +/- 0.4	2.54 +/- 0.10	0.115 +/- 0.007	2.67	1.24	0.30	22.09 +/- 1.60	2.9e-8 +/- 1.4e-8	2.9e-8 +/- 5.3e-9	8.5e-8 +/- 6.4e-9	0.34 +/- 0.17	0.34 +/- 0.07	1.61e14 +/- 1.47e14	1.61e14 +/- 3.69e13	9.23e13 +/- 6.97e12	1.74 +/- 1.60	1.74 +/- 0.42	**
LV2	0.1	18.0	7.76	0.25	0.01	1.45	0.05	7.1	0.4	2.53	0.0005	87.5	2.5	22.93 +/- 22.91	0.02	177.9 +/- 177.8	3.56 +/- 3.56	0.115 +/- 0.007	2.67	1.24	0.30	30.96 +/- 31.01	1.5e-8 +/- 3.0e-8	1.5e-8 +/- 2.9e-8	1.8e-10 +/- 3.6e-10	83.33 +/- 235.70	83.33 +/- 231.81	1.61e14 +/- 1.47e14	1.61e14 +/- 3.69e13	3.28e11 +/- 6.55e11	490.85 +/- 1077.81	490.85 +/- 986.65	xx
LV2	0.1	18.0	7.76	0.31	0.01	0.65	0.05	7.1	0.4	2.53	0.1	55	2.5	1.74 +/- 0.11	0.24	13.5 +/- 0.9	3.24 +/- 0.22	0.115 +/- 0.007	2.67	1.24	0.30	28.17 +/- 2.57	1.8e-8 +/- 8.8e-9	1.8e-8 +/- 3.8e-9	5.2e-8 +/- 7.0e-9	0.35 +/- 0.18	0.35 +/- 0.09	1.61e14 +/- 1.47e14	1.61e14 +/- 3.69e13	5.69e13 +/- 7.59e12	2.83 +/- 2.61	2.83 +/- 0.75	*
LV2b	1.0	0.0	7.21	0.1	0.01	1.85	0.05	2.2	0.6	4.13	0.02	17.5	2.5	1.05 +/- 0.01	0.12	7.6 +/- 7e-2	0.91 +/- 8.4e-3	0.036 +/- 0.010	4.35	3.03	1.34	25.28 +/- 7.03	3.6e-8 +/- 3.2e-8	3.6e-8 +/- 2.3e-8	1.2e-7 +/- 2.3e-9	0.30 +/- 0.27	0.30 +/- 0.19	1.36e14 +/- 1.87e14	1.36e14 +/- 8.90e13	1.80e14 +/- 3.31e12	0.76 +/- 1.04	0.76 +/- 0.49	**
LV2b	1.0	0.0	7.21	0.09	0.01	1.7	0.05	2.2	0.6	4.13	0.0005	65	2.5	2.37 +/- 0.22	0.02	17.1 +/- 1.6	0.34 +/- 0.03	0.036 +/- 0.010	4.35	3.03	1.34	9.44 +/- 2.75	2.6e-7 +/- 2.3e-7	2.6e-7 +/- 1.7e-7	2.0e-8 +/- 3.7e-9	13.00 +/- 11.75	13.00 +/- 8.83	1.36e14 +/- 1.87e14	1.36e14 +/- 8.90e13	3.55e13 +/- 6.64e12	3.83 +/- 5.32	3.83 +/- 2.61	**
LV2b	0.8	0.5	7.21	0.11	0.01	1.65	0.05	2.2	0.6	4.13	0.01	22.5	2.5	1.08 +/- 0.02	0.09	7.8 +/- 0.1	0.70 +/- 9e-3	0.036 +/- 0.010	4.35	3.03	1.34	19.44 +/- 5.41	6.1e-8 +/- 5.4e-8	6.1e-8 +/- 3.9e-8	1.1e-7 +/- 2.8e-9	0.55 +/- 0.49	0.55 +/- 0.35	1.36e14 +/- 1.87e14	1.36e14 +/- 8.90e13	1.70e14 +/- 4.37e12	0.80 +/- 1.10	0.80 +/- 0.52	**
LV2b	0.8	0.5	7.21	0.1	0.01	1.45	0.05	2.2	0.6	4.13	0.002	55	2.5	1.74 +/- 0.11	0.04	12.5 +/- 0.8	0.50 +/- 0.03	0.036 +/- 0.010	4.35	3.03	1.34	13.89 +/- 3.95	1.2e-7 +/- 1.1e-7	1.2e-7 +/- 7.7e-8	3.8e-8 +/- 4.9e-9	3.16 +/- 2.92	3.16 +/- 2.07	1.36e14 +/- 1.87e14	1.36e14 +/- 8.90e13	6.64e13 +/- 8.50e12	2.05 +/- 2.83	2.05 +/- 1.37	**
LV3	1.0	0.0	6.89	0.33	0.01	2.1	0.05	4.5	0.6	3.11	0.001	75	2.5	3.86 +/- 0.63	0.03	26.6 +/- 4.3	0.80 +/- 0.13	0.073 +/- 0.010	3.28	1.98	0.88	10.96 +/- 2.33	1.4e-7 +/- 1.1e-7	1.4e-7 +/- 7.2e-8	8.2e-9 +/- 2.7e-9	17.07 +/- 14.54	17.07 +/- 10.43	1.55e14 +/- 1.84e14	1.55e14 +/- 8.41e13	1.47e13 +/- 4.74e12	10.54 +/- 12.97	10.54 +/- 6.66	x
LV3	0.8	0.5	6.89	0.33	0.01	2.05	0.05	4.5	0.6	3.11	0.06	40	2.5	1.31 +/- 0.05	0.20	9.0 +/- 0.3	1.80 +/- 0.06	0.073 +/- 0.010	3.28	1.98	0.88	24.66 +/- 3.48	2.8e-8 +/- 1.9e-8	2.8e-8 +/- 1.1e-8	1.1e-7 +/- 7.1e-9	0.25 +/- 0.17	0.25 +/- 0.10	1.55e14 +/- 1.84e14	1.55e14 +/- 8.41e13	1.28e14 +/- 8.54e12	1.21 +/- 1.44	1.21 +/- 0.66	**
LV3	0.8	0.5	6.89	0.33	0.01	1.7	0.05	4.5	0.6	3.11	0.02	57.5	2.5	1.86 +/- 0.13	0.12	12.8 +/- 0.9	1.54 +/- 0.11	0.073 +/- 0.010	3.28	1.98	0.88	21.10 +/- 3.26	3.9e-8 +/- 2.6e-8	3.9e-8 +/- 1.6e-8	4.3e-8 +/- 6.1e-9	0.91 +/- 0.62	0.91 +/- 0.39	1.55e14 +/- 1.84e14	1.55e14 +/- 8.41e13	6.33e13 +/- 8.90e12	2.45 +/- 2.93	2.45 +/- 1.37	**
LV4	1.0	0.0	6.2	0.19	0.01	2.15	0.05	3.1	0.3	4.13	0.05	10	2.5	1.02 +/- 7.8e-3	0.18	6.3 +/- 5e-2	1.13 +/- 9e-3	0.050 +/- 0.005	4.35	2.49	0.77	22.60 +/- 2.27	4.5e-8 +/- 2.7e-8	4.5e-8 +/- 1.2e-8	2.1e-7 +/- 3.3e-9	0.21 +/- 0.13	0.21 +/- 0.06	1.88e14 +/- 2.10e14	1.88e14 +/- 6.73e13	2.61e14 +/- 4.15e12	0.72 +/- 0.80	0.72 +/- 0.26	**
LV4	1.0	0.0	6.2	0.19	0.01	2.05	0.05	3.1	0.3	4.13	0.02	37.5	2.5	1.26 +/- 0.04	0.12	7.8 +/- 0.2	0.94 +/- 0.02	0.050 +/- 0.005	4.35	2.49	0.77	18.80 +/- 1.92	6.5e-8 +/- 3.9e-8	6.5e-8 +/- 1.8e-8	1.2e-7 +/- 6.0e-9	0.54 +/- 0.33	0.54 +/- 0.15	1.88e14 +/- 2.10e14	1.88e14 +/- 6.73e13	1.70e14 +/- 8.74e12	1.11 +/- 1.24	1.11 +/- 0.40	**
