Fuente	xi	k	D'(as)	q'	dq'	\Pi'	d\Pi'	r14	dr14	\beta	i (deg)	di (deg)	sec(i)	q	D(as)	D(pc)	R0(as)	r0	n	R0/r0	n0	P(in)	P(wind)	P(in)/P(wind)	F(photo)	F(star)	F(ph)/F(*)	*
LV2	0.8	0.5	7.76	0.25	0.01	1.5	0.05	7.6	0.4	0.005	65	2.5	2.37 +/- 0.22	0.07	18.4 +/- 1.7	0.037 +/- 0.003	1.29 +/- 0.12	0.123 +/- 0.007	4699.92 +/- 762.15	10.49 +/- 1.14	1034359.33 +/- 280495.64	4.95e-8 +/- 8.02e-9	1.87e-8 +/- 3.03e-9	2.65 +/- 0.61	2.65e13 +/- 1.38e13	3.05e13 +/- 4.95e12	0.87 +/- 0.47	**
LV2	0.8	0.5	7.76	0.25	0.01	1.5	0.05	7.6	0.4	0.002	67.5	2.5	2.61 +/- 0.28	0.04	20.3 +/- 2.2	0.041 +/- 0.004	0.81 +/- 0.09	0.123 +/- 0.007	4688.81 +/- 914.89	6.59 +/- 0.82	407252.22 +/- 128787.58	4.93e-8 +/- 9.63e-9	1.43e-8 +/- 2.79e-9	3.45 +/- 0.95	4.38e12 +/- 2.50e12	2.49e13 +/- 4.85e12	0.18 +/- 0.11	x
LV2	0.4	3.0	7.76	0.28	0.01	1.2	0.05	7.6	0.4	0.02	45	2.5	1.41 +/- 0.06	0.12	10.9 +/- 0.5	0.022 +/- 0.001	1.31 +/- 0.06	0.123 +/- 0.007	48251.49 +/- 4386.50	10.65 +/- 0.78	10945609.25 +/- 1886983.88	5.08e-7 +/- 4.62e-8	5.90e-8 +/- 5.37e-9	8.61 +/- 1.11	2.85e15 +/- 9.91e14	8.63e13 +/- 7.85e12	33.02 +/- 11.87	xx
LV2	0.4	3.0	7.76	0.26	0.01	1.45	0.05	7.6	0.4	0.001	82.5	2.5	7.66 +/- 2.54	0.03	59.4 +/- 19.7	0.119 +/- 0.040	1.78 +/- 0.59	0.123 +/- 0.007	1319.33 +/- 886.94	14.47 +/- 4.87	552485.01 +/- 525595.07	1.39e-8 +/- 9.33e-9	1.66e-9 +/- 1.12e-9	8.37 +/- 7.97	7.85e12 +/- 1.38e13	2.95e12 +/- 1.98e12	2.66 +/- 5.01	**
LV2	0.2	8.0	7.76	0.3	0.01	0.85	0.05	7.6	0.4	0.1	40	2.5	1.31 +/- 0.05	0.24	10.2 +/- 0.4	0.020 +/- 8.70e-4	2.45 +/- 0.10	0.123 +/- 0.007	164205.87 +/- 14285.91	19.92 +/- 1.39	130315880.27 +/- 21431118.94	1.73e-6 +/- 1.50e-7	9.57e-8 +/- 8.33e-9	18.08 +/- 2.22	4.03e17 +/- 1.34e17	1.04e14 +/- 9.09e12	3875.00 +/- 1332.23	xx
LV2	0.2	8.0	7.76	0.25	0.01	1.45	0.05	7.6	0.4	0.0005	87.5	2.5	22.93 +/- 22.91	0.02	177.9 +/- 177.8	0.357 +/- 0.357	3.56 +/- 3.56	0.123 +/- 0.007	371.06 +/- 742.12	28.94 +/- 28.99	621543.01 +/- 1759508.43	3.91e-9 +/- 7.81e-9	1.81e-10 +/- 3.61e-10	21.60 +/- 60.98	9.84e12 +/- 5.19e13	3.28e11 +/- 6.56e11	30.00 +/- 169.23	xx
LV2	0.2	8.0	7.76	0.31	0.01	0.85	0.05	7.6	0.4	0.1	42.5	2.5	1.36 +/- 0.05	0.24	10.6 +/- 0.4	0.021 +/- 8.76e-4	2.54 +/- 0.10	0.123 +/- 0.007	148939.56 +/- 12425.81	20.65 +/- 1.43	127022359.05 +/- 20537687.38	1.57e-6 +/- 1.31e-7	8.68e-8 +/- 7.24e-9	18.09 +/- 2.13	3.83e17 +/- 1.25e17	9.47e13 +/- 7.90e12	4044.35 +/- 1362.39	xx
LV2	0.1	18.0	7.76	0.25	0.01	1.45	0.05	7.6	0.4	0.0005	87.5	2.5	22.93 +/- 22.91	0.02	177.9 +/- 177.8	0.357 +/- 0.357	3.56 +/- 3.56	0.123 +/- 0.007	783.35 +/- 1566.70	28.94 +/- 28.99	1312148.22 +/- 3714523.06	8.24e-9 +/- 1.65e-8	1.81e-10 +/- 3.61e-10	45.52 +/- 128.66	4.23e13 +/- 2.31e14	3.28e11 +/- 6.56e11	128.96 +/- 750.01	xx
LV2	0.1	18.0	7.76	0.31	0.01	0.65	0.05	7.6	0.4	0.1	55	2.5	1.74 +/- 0.11	0.24	13.5 +/- 0.9	0.027 +/- 0.002	3.24 +/- 0.22	0.123 +/- 0.007	190209.51 +/- 28179.19	26.34 +/- 2.33	263933042.23 +/- 60903707.55	2.00e-6 +/- 2.97e-7	5.25e-8 +/- 7.78e-9	38.10 +/- 7.99	1.65e18 +/- 7.67e17	5.73e13 +/- 8.49e12	28795.81 +/- 14049.22	xx
LV2b	1.0	0.0	7.21	0.1	0.01	1.85	0.05	2.4	0.6	0.02	17.5	2.5	1.05 +/- 0.01	0.12	7.6 +/- 7e-2	0.015 +/- 2.87e-4	0.91 +/- 8.4e-3	0.039 +/- 0.010	25948.58 +/- 992.97	23.33 +/- 5.99	28247048.13 +/- 14545133.91	2.73e-7 +/- 1.05e-8	1.27e-7 +/- 4.86e-9	2.15 +/- 0.12	6.01e15 +/- 6.33e15	1.86e14 +/- 7.11e12	32.31 +/- 34.05	xx
LV2b	1.0	0.0	7.21	0.09	0.01	1.7	0.05	2.4	0.6	0.0005	65	2.5	2.37 +/- 0.22	0.02	17.1 +/- 1.6	0.034 +/- 0.003	0.34 +/- 0.03	0.039 +/- 0.010	4545.49 +/- 802.15	8.72 +/- 2.36	691263.57 +/- 393553.69	4.78e-8 +/- 8.44e-9	1.99e-8 +/- 3.52e-9	2.40 +/- 0.60	4.34e12 +/- 4.19e12	3.61e13 +/- 6.38e12	0.12 +/- 0.12	x
LV2b	0.8	0.5	7.21	0.11	0.01	1.65	0.05	2.4	0.6	0.01	22.5	2.5	1.08 +/- 0.02	0.09	7.8 +/- 0.1	0.016 +/- 3.26e-4	0.70 +/- 9e-3	0.039 +/- 0.010	30408.49 +/- 1239.15	17.95 +/- 4.61	19595383.00 +/- 10096774.60	3.20e-7 +/- 1.30e-8	1.04e-7 +/- 4.25e-9	3.08 +/- 0.18	2.90e15 +/- 3.05e15	1.63e14 +/- 6.65e12	17.79 +/- 18.73	x
LV2b	0.8	0.5	7.21	0.1	0.01	1.45	0.05	2.4	0.6	0.002	55	2.5	1.74 +/- 0.11	0.04	12.5 +/- 0.8	0.025 +/- 0.002	0.50 +/- 0.03	0.039 +/- 0.010	12611.01 +/- 2017.76	12.82 +/- 3.38	4145299.52 +/- 2284230.81	1.33e-7 +/- 2.12e-8	3.84e-8 +/- 6.14e-9	3.46 +/- 0.78	1.33e14 +/- 1.45e14	6.68e13 +/- 1.07e13	1.99 +/- 2.19	**
LV3	1.0	0.0	6.89	0.33	0.01	2.1	0.05	4.8	0.7	0.001	75	2.5	3.86 +/- 0.63	0.03	26.6 +/- 4.3	0.053 +/- 0.009	0.80 +/- 0.13	0.077 +/- 0.011	1662.78 +/- 564.72	10.39 +/- 2.25	359001.19 +/- 197590.18	1.75e-8 +/- 5.94e-9	8.37e-9 +/- 2.84e-9	2.09 +/- 1.00	2.33e12 +/- 2.15e12	1.49e13 +/- 5.05e12	0.16 +/- 0.15	x
LV3	0.8	0.5	6.89	0.33	0.01	2.05	0.05	4.8	0.7	0.06	40	2.5	1.31 +/- 0.05	0.20	9.0 +/- 0.3	0.018 +/- 6.71e-4	1.80 +/- 0.06	0.077 +/- 0.011	29192.15 +/- 2176.44	23.38 +/- 3.43	31914282.96 +/- 9661641.96	3.07e-7 +/- 2.29e-8	1.07e-7 +/- 7.95e-9	2.87 +/- 0.30	1.53e16 +/- 9.50e15	1.29e14 +/- 9.61e12	118.60 +/- 74.17	xx
LV3	0.8	0.5	6.89	0.33	0.01	1.7	0.05	4.8	0.7	0.02	57.5	2.5	1.86 +/- 0.13	0.12	12.8 +/- 0.9	0.026 +/- 0.002	1.54 +/- 0.11	0.077 +/- 0.011	12955.10 +/- 1993.09	20.00 +/- 3.19	10364080.00 +/- 3670546.65	1.36e-7 +/- 2.10e-8	4.23e-8 +/- 6.50e-9	3.22 +/- 0.70	1.62e15 +/- 1.16e15	6.18e13 +/- 9.51e12	26.21 +/- 19.20	x
LV4	1.0	0.0	6.2	0.19	0.01	2.15	0.05	3.4	0.3	0.05	10	2.5	1.02 +/- 7.8e-3	0.18	6.3 +/- 5e-2	0.013 +/- 2.31e-4	1.13 +/- 9e-3	0.055 +/- 0.005	38385.48 +/- 1364.16	20.55 +/- 1.87	32420568.34 +/- 6011826.80	4.04e-7 +/- 1.44e-8	1.95e-7 +/- 6.92e-9	2.07 +/- 0.10	1.12e16 +/- 4.25e15	2.47e14 +/- 8.79e12	45.34 +/- 17.28	xx
LV4	1.0	0.0	6.2	0.19	0.01	2.05	0.05	3.4	0.3	0.02	37.5	2.5	1.26 +/- 0.04	0.12	7.8 +/- 0.2	0.016 +/- 4.77e-4	0.94 +/- 0.02	0.055 +/- 0.005	22806.37 +/- 1359.83	17.09 +/- 1.60	13322026.31 +/- 2617886.91	2.40e-7 +/- 1.43e-8	1.12e-7 +/- 6.65e-9	2.14 +/- 0.18	1.90e15 +/- 7.58e14	1.63e14 +/- 9.73e12	11.66 +/- 4.70	x
LV5	0.8	0.5	9.55	0.21	0.01	1.7	0.05	6.1	0.7	0.02	42.5	2.5	1.36 +/- 0.05	0.12	13.0 +/- 0.5	0.026 +/- 0.001	1.56 +/- 0.06	0.098 +/- 0.011	12955.10 +/- 996.55	15.92 +/- 1.89	6566846.91 +/- 1638998.99	1.36e-7 +/- 1.05e-8	4.23e-8 +/- 3.25e-9	3.22 +/- 0.35	8.28e14 +/- 4.20e14	6.18e13 +/- 4.75e12	13.40 +/- 6.87	x
LV5	0.8	0.5	9.55	0.21	0.01	1.45	0.05	6.1	0.7	0.001	75	2.5	3.86 +/- 0.63	0.03	36.9 +/- 6.0	0.074 +/- 0.012	1.11 +/- 0.18	0.098 +/- 0.011	1279.42 +/- 414.95	11.33 +/- 2.23	328475.48 +/- 167536.76	1.35e-8 +/- 4.37e-9	4.29e-9 +/- 1.39e-9	3.15 +/- 1.44	2.41e12 +/- 2.12e12	7.63e12 +/- 2.47e12	0.32 +/- 0.30	*
LV5	0.8	0.5	9.55	0.21	0.01	1.45	0.05	6.1	0.7	0.005	62.5	2.5	2.17 +/- 0.18	0.07	20.7 +/- 1.7	0.042 +/- 0.003	1.45 +/- 0.12	0.098 +/- 0.011	3647.50 +/- 521.07	14.80 +/- 2.06	1597896.80 +/- 499972.11	3.84e-8 +/- 5.48e-9	1.45e-8 +/- 2.07e-9	2.65 +/- 0.53	5.04e13 +/- 3.09e13	2.37e13 +/- 3.38e12	2.13 +/- 1.34	**
LV5	0.8	0.5	9.55	0.21	0.01	1.55	0.05	6.1	0.7	0.01	52.5	2.5	1.64 +/- 0.09	0.09	15.7 +/- 0.9	0.032 +/- 0.002	1.41 +/- 0.08	0.098 +/- 0.011	7602.12 +/- 950.27	14.39 +/- 1.81	3148373.91 +/- 884403.96	8.00e-8 +/- 1.00e-8	2.61e-8 +/- 3.26e-9	3.07 +/- 0.54	1.92e14 +/- 1.08e14	4.08e13 +/- 5.10e12	4.71 +/- 2.71	**
168-328	0.8	0.5	6.83	0.15	0.01	1.55	0.05	2.7	0.3	0.005	52.5	2.5	1.64 +/- 0.09	0.07	11.2 +/- 0.6	0.022 +/- 0.001	0.78 +/- 0.04	0.044 +/- 0.005	13293.78 +/- 1208.53	17.73 +/- 2.21	8357876.59 +/- 2217792.31	1.40e-7 +/- 1.27e-8	5.28e-8 +/- 4.80e-9	2.65 +/- 0.34	5.98e14 +/- 3.19e14	8.63e13 +/- 7.85e12	6.93 +/- 3.75	x
168-328	0.8	0.5	6.83	0.15	0.01	1.4	0.05	2.7	0.3	0.001	72.5	2.5	3.33 +/- 0.46	0.03	22.7 +/- 3.1	0.046 +/- 0.006	0.68 +/- 0.09	0.044 +/- 0.005	3311.02 +/- 863.74	15.45 +/- 2.70	1580697.50 +/- 689395.58	3.48e-8 +/- 9.09e-9	1.11e-8 +/- 2.90e-9	3.14 +/- 1.16	2.28e13 +/- 1.85e13	1.97e13 +/- 5.15e12	1.16 +/- 0.99	**
