Fuente	xi	k	D'(as)	q'	dq'	\Pi'	d\Pi'	r14	dr14	\beta	i (deg)	di (deg)	sec(i)	q	D(as)	D(pc)	R0(as)	r0	n	R0/r0	n0	P(in)	P(wind)	P(in)/P(wind)	F(photo)	F(star)	F(ph)/F(*)	*
LV2	0.8	0.5	7.76	0.25	0.01	1.5	0.05	7.6	0.4	0.005	65	2.5	2.37 +/- 0.22	0.07	18.4 +/- 1.7	0.037 +/- 0.003	1.29 +/- 0.12	0.123 +/- 0.007	2519.06 +/- 408.50	10.49 +/- 1.14	831592.84 +/- 225510.46	5.96e-8 +/- 9.67e-9	6.76e-8 +/- 1.10e-8	0.88 +/- 0.20	1.73e13 +/- 8.94e12	3.05e13 +/- 4.95e12	0.57 +/- 0.31	*
LV2	0.8	0.5	7.76	0.25	0.01	1.5	0.05	7.6	0.4	0.002	67.5	2.5	2.61 +/- 0.28	0.04	20.3 +/- 2.2	0.041 +/- 0.004	0.81 +/- 0.09	0.123 +/- 0.007	2513.10 +/- 490.36	6.59 +/- 0.82	327417.47 +/- 103540.92	5.95e-8 +/- 1.16e-8	5.17e-8 +/- 1.01e-8	1.15 +/- 0.32	2.90e12 +/- 1.62e12	2.49e13 +/- 4.85e12	0.12 +/- 0.07	x
LV2	0.4	3.0	7.76	0.28	0.01	1.2	0.05	7.6	0.4	0.02	45	2.5	1.41 +/- 0.06	0.12	10.9 +/- 0.5	0.022 +/- 0.001	1.31 +/- 0.06	0.123 +/- 0.007	9698.18 +/- 881.65	10.65 +/- 0.78	3299975.46 +/- 568903.44	2.30e-7 +/- 2.09e-8	2.14e-7 +/- 1.94e-8	1.07 +/- 0.14	2.62e14 +/- 9.01e13	8.63e13 +/- 7.85e12	3.04 +/- 1.08	**
LV2	0.4	3.0	7.76	0.26	0.01	1.45	0.05	7.6	0.4	0.001	82.5	2.5	7.66 +/- 2.54	0.03	59.4 +/- 19.7	0.119 +/- 0.040	1.78 +/- 0.59	0.123 +/- 0.007	265.17 +/- 178.27	14.47 +/- 4.87	166564.60 +/- 158460.13	6.28e-9 +/- 4.22e-9	6.01e-9 +/- 4.04e-9	1.04 +/- 0.99	8.41e11 +/- 1.26e12	2.95e12 +/- 1.98e12	0.29 +/- 0.47	x
LV2	0.2	8.0	7.76	0.3	0.01	0.85	0.05	7.6	0.4	0.1	40	2.5	1.31 +/- 0.05	0.24	10.2 +/- 0.4	0.020 +/- 8.70e-4	2.45 +/- 0.10	0.123 +/- 0.007	14668.49 +/- 1276.16	19.92 +/- 1.39	17461652.13 +/- 2871659.70	3.47e-7 +/- 3.02e-8	3.46e-7 +/- 3.01e-8	1.00 +/- 0.12	7.25e15 +/- 2.41e15	1.04e14 +/- 9.09e12	69.71 +/- 23.96	xx
LV2	0.2	8.0	7.76	0.25	0.01	1.45	0.05	7.6	0.4	0.0005	87.5	2.5	22.93 +/- 22.91	0.02	177.9 +/- 177.8	0.357 +/- 0.357	3.56 +/- 3.56	0.123 +/- 0.007	33.15 +/- 66.29	28.94 +/- 28.99	83291.72 +/- 235770.41	7.85e-10 +/- 1.57e-9	6.54e-10 +/- 1.31e-9	1.20 +/- 3.40	2.56e11 +/- 9.67e11	3.28e11 +/- 6.56e11	0.78 +/- 3.34	**
LV2	0.2	8.0	7.76	0.31	0.01	0.85	0.05	7.6	0.4	0.1	42.5	2.5	1.36 +/- 0.05	0.24	10.6 +/- 0.4	0.021 +/- 8.76e-4	2.54 +/- 0.10	0.123 +/- 0.007	13304.75 +/- 1110.00	20.65 +/- 1.43	17020334.27 +/- 2751945.83	3.15e-7 +/- 2.63e-8	3.14e-7 +/- 2.62e-8	1.00 +/- 0.12	6.89e15 +/- 2.25e15	9.47e13 +/- 7.90e12	72.76 +/- 24.52	xx
LV2	0.1	18.0	7.76	0.25	0.01	1.45	0.05	7.6	0.4	0.0005	87.5	2.5	22.93 +/- 22.91	0.02	177.9 +/- 177.8	0.357 +/- 0.357	3.56 +/- 3.56	0.123 +/- 0.007	33.15 +/- 66.29	28.94 +/- 28.99	83291.72 +/- 235770.41	7.85e-10 +/- 1.57e-9	6.54e-10 +/- 1.31e-9	1.20 +/- 3.40	2.56e11 +/- 9.67e11	3.28e11 +/- 6.56e11	0.78 +/- 3.34	**
LV2	0.1	18.0	7.76	0.31	0.01	0.65	0.05	7.6	0.4	0.1	55	2.5	1.74 +/- 0.11	0.24	13.5 +/- 0.9	0.027 +/- 0.002	3.24 +/- 0.22	0.123 +/- 0.007	8048.55 +/- 1192.38	26.34 +/- 2.33	16752145.73 +/- 3865633.91	1.91e-7 +/- 2.82e-8	1.90e-7 +/- 2.82e-8	1.01 +/- 0.21	6.67e15 +/- 3.09e15	5.73e13 +/- 8.49e12	116.40 +/- 56.62	xx
LV2b	1.0	0.0	7.21	0.1	0.01	1.85	0.05	2.4	0.6	0.02	17.5	2.5	1.05 +/- 0.01	0.12	7.6 +/- 7e-2	0.015 +/- 2.87e-4	0.91 +/- 8.4e-3	0.039 +/- 0.010	20861.85 +/- 798.31	23.33 +/- 5.99	34064620.17 +/- 17540751.01	4.94e-7 +/- 1.89e-8	4.59e-7 +/- 1.76e-8	1.08 +/- 0.06	8.73e15 +/- 9.21e15	1.86e14 +/- 7.11e12	46.94 +/- 49.55	xx
LV2b	1.0	0.0	7.21	0.09	0.01	1.7	0.05	2.4	0.6	0.0005	65	2.5	2.37 +/- 0.22	0.02	17.1 +/- 1.6	0.034 +/- 0.003	0.34 +/- 0.03	0.039 +/- 0.010	3654.43 +/- 644.90	8.72 +/- 2.36	833631.03 +/- 474606.82	8.65e-8 +/- 1.53e-8	7.21e-8 +/- 1.27e-8	1.20 +/- 0.30	6.12e12 +/- 6.09e12	3.61e13 +/- 6.38e12	0.17 +/- 0.17	x
LV2b	0.8	0.5	7.21	0.11	0.01	1.65	0.05	2.4	0.6	0.01	22.5	2.5	1.08 +/- 0.02	0.09	7.8 +/- 0.1	0.016 +/- 3.26e-4	0.70 +/- 9e-3	0.039 +/- 0.010	16298.32 +/- 664.16	17.95 +/- 4.61	15754078.35 +/- 8117492.78	3.86e-7 +/- 1.57e-8	3.77e-7 +/- 1.54e-8	1.02 +/- 0.06	1.88e15 +/- 1.97e15	1.63e14 +/- 6.65e12	11.53 +/- 12.10	x
