Fuente	xi	k	D'(as)	q'	dq'	\Pi'	d\Pi'	r14	dr14	\beta	i (deg)	di (deg)	sec(i)	q	D(as)	D(pc)	R0(as)	r0	n	R0/r0	n0	P(in)	P(wind)	P(in)/P(wind)	F(photo)	F(star)	F(ph)/F(*)	*
LV2	0.8	0.5	7.76	0.25	0.01	1.5	0.05	7.1	0.4	0.005	65	2.5	2.37 +/- 0.22	0.07	18.4 +/- 1.7	0.037 +/- 0.003	1.29 +/- 0.12	0.115 +/- 0.007	2088.85 +/- 338.73	11.22 +/- 1.25	788885.95 +/- 217399.76	4.95e-8 +/- 8.02e-9	1.87e-8 +/- 3.03e-9	2.65 +/- 0.61	1.47e13 +/- 7.64e12	3.05e13 +/- 4.95e12	0.48 +/- 0.26	**
LV2	0.8	0.5	7.76	0.25	0.01	1.5	0.05	7.1	0.4	0.002	67.5	2.5	2.61 +/- 0.28	0.04	20.3 +/- 2.2	0.041 +/- 0.004	0.81 +/- 0.09	0.115 +/- 0.007	2083.91 +/- 406.62	7.04 +/- 0.89	309845.74 +/- 98957.64	4.93e-8 +/- 9.63e-9	1.43e-8 +/- 2.79e-9	3.45 +/- 0.95	2.47e12 +/- 1.37e12	2.49e13 +/- 4.85e12	0.10 +/- 0.06	x
LV2	0.4	3.0	7.76	0.28	0.01	1.2	0.05	7.1	0.4	0.02	45	2.5	1.41 +/- 0.06	0.12	10.9 +/- 0.5	0.022 +/- 0.001	1.31 +/- 0.06	0.115 +/- 0.007	21445.11 +/- 1949.56	11.39 +/- 0.87	8346357.47 +/- 1483723.80	5.08e-7 +/- 4.62e-8	5.90e-8 +/- 5.37e-9	8.61 +/- 1.11	1.55e15 +/- 5.55e14	8.63e13 +/- 7.85e12	17.96 +/- 6.64	xx
LV2	0.4	3.0	7.76	0.26	0.01	1.45	0.05	7.1	0.4	0.001	82.5	2.5	7.66 +/- 2.54	0.03	59.4 +/- 19.7	0.119 +/- 0.040	1.78 +/- 0.59	0.115 +/- 0.007	586.37 +/- 394.20	15.48 +/- 5.22	421536.23 +/- 401410.03	1.39e-8 +/- 9.33e-9	1.66e-9 +/- 1.12e-9	8.37 +/- 7.97	4.40e12 +/- 7.51e12	2.95e12 +/- 1.98e12	1.49 +/- 2.74	**
LV2	0.2	8.0	7.76	0.3	0.01	0.85	0.05	7.1	0.4	0.1	40	2.5	1.31 +/- 0.05	0.24	10.2 +/- 0.4	0.020 +/- 8.70e-4	2.45 +/- 0.10	0.115 +/- 0.007	72980.38 +/- 6349.29	21.30 +/- 1.56	99331405.81 +/- 16922833.94	1.73e-6 +/- 1.50e-7	9.57e-8 +/- 8.33e-9	18.08 +/- 2.22	2.19e17 +/- 7.55e16	1.04e14 +/- 9.09e12	2105.77 +/- 748.93	xx
LV2	0.2	8.0	7.76	0.25	0.01	1.45	0.05	7.1	0.4	0.0005	87.5	2.5	22.93 +/- 22.91	0.02	177.9 +/- 177.8	0.357 +/- 0.357	3.56 +/- 3.56	0.115 +/- 0.007	164.92 +/- 329.83	30.96 +/- 31.01	474238.15 +/- 1342411.29	3.91e-9 +/- 7.81e-9	1.81e-10 +/- 3.61e-10	21.60 +/- 60.98	5.50e12 +/- 2.82e13	3.28e11 +/- 6.56e11	16.77 +/- 92.28	xx
LV2	0.2	8.0	7.76	0.31	0.01	0.85	0.05	7.1	0.4	0.1	42.5	2.5	1.36 +/- 0.05	0.24	10.6 +/- 0.4	0.021 +/- 8.76e-4	2.54 +/- 0.10	0.115 +/- 0.007	66195.36 +/- 5522.58	22.09 +/- 1.60	96903672.14 +/- 16199237.62	1.57e-6 +/- 1.31e-7	8.68e-8 +/- 7.24e-9	18.09 +/- 2.13	2.08e17 +/- 7.05e16	9.47e13 +/- 7.90e12	2196.41 +/- 766.67	xx
LV2	0.1	18.0	7.76	0.25	0.01	1.45	0.05	7.1	0.4	0.0005	87.5	2.5	22.93 +/- 22.91	0.02	177.9 +/- 177.8	0.357 +/- 0.357	3.56 +/- 3.56	0.115 +/- 0.007	348.16 +/- 696.31	30.96 +/- 31.01	1001156.64 +/- 2833965.78	8.24e-9 +/- 1.65e-8	1.81e-10 +/- 3.61e-10	45.52 +/- 128.66	2.33e13 +/- 1.26e14	3.28e11 +/- 6.56e11	71.04 +/- 409.58	xx
LV2	0.1	18.0	7.76	0.31	0.01	0.65	0.05	7.1	0.4	0.1	55	2.5	1.74 +/- 0.11	0.24	13.5 +/- 0.9	0.027 +/- 0.002	3.24 +/- 0.22	0.115 +/- 0.007	84537.56 +/- 12524.08	28.17 +/- 2.57	201254063.24 +/- 47301484.40	2.00e-6 +/- 2.97e-7	5.25e-8 +/- 7.78e-9	38.10 +/- 7.99	8.97e17 +/- 4.25e17	5.73e13 +/- 8.49e12	15654.45 +/- 7771.32	xx
LV2b	1.0	0.0	7.21	0.1	0.01	1.85	0.05	2.2	0.6	0.02	17.5	2.5	1.05 +/- 0.01	0.12	7.6 +/- 7e-2	0.015 +/- 2.87e-4	0.91 +/- 8.4e-3	0.036 +/- 0.010	11532.70 +/- 441.32	25.28 +/- 7.03	22110898.39 +/- 12326511.65	2.73e-7 +/- 1.05e-8	1.27e-7 +/- 4.86e-9	2.15 +/- 0.12	3.38e15 +/- 3.85e15	1.86e14 +/- 7.11e12	18.17 +/- 20.71	xx
LV2b	1.0	0.0	7.21	0.09	0.01	1.7	0.05	2.2	0.6	0.0005	65	2.5	2.37 +/- 0.22	0.02	17.1 +/- 1.6	0.034 +/- 0.003	0.34 +/- 0.03	0.036 +/- 0.010	2020.22 +/- 356.51	9.44 +/- 2.75	540087.23 +/- 328786.87	4.78e-8 +/- 8.44e-9	1.99e-8 +/- 3.52e-9	2.40 +/- 0.60	2.60e12 +/- 2.52e12	3.61e13 +/- 6.38e12	0.07 +/- 0.07	x
LV2b	0.8	0.5	7.21	0.11	0.01	1.65	0.05	2.2	0.6	0.01	22.5	2.5	1.08 +/- 0.02	0.09	7.8 +/- 0.1	0.016 +/- 3.26e-4	0.70 +/- 9e-3	0.036 +/- 0.010	13514.89 +/- 550.73	19.44 +/- 5.41	15322382.20 +/- 8551024.70	3.20e-7 +/- 1.30e-8	1.04e-7 +/- 4.25e-9	3.08 +/- 0.18	1.63e15 +/- 1.85e15	1.63e14 +/- 6.65e12	10.00 +/- 11.36	x
LV2b	0.8	0.5	7.21	0.1	0.01	1.45	0.05	2.2	0.6	0.002	55	2.5	1.74 +/- 0.11	0.04	12.5 +/- 0.8	0.025 +/- 0.002	0.50 +/- 0.03	0.036 +/- 0.010	5604.89 +/- 896.78	13.89 +/- 3.95	3244089.59 +/- 1916709.45	1.33e-7 +/- 2.12e-8	3.84e-8 +/- 6.14e-9	3.46 +/- 0.78	7.58e13 +/- 8.76e13	6.68e13 +/- 1.07e13	1.13 +/- 1.32	**
LV3	1.0	0.0	6.89	0.33	0.01	2.1	0.05	4.5	0.6	0.001	75	2.5	3.86 +/- 0.63	0.03	26.6 +/- 4.3	0.053 +/- 0.009	0.80 +/- 0.13	0.073 +/- 0.010	739.01 +/- 250.99	10.96 +/- 2.33	266313.19 +/- 144921.54	1.75e-8 +/- 5.94e-9	8.37e-9 +/- 2.84e-9	2.09 +/- 1.00	1.29e12 +/- 1.10e12	1.49e13 +/- 5.05e12	0.09 +/- 0.08	x
