Fuente	xi	k	D'(as)	q'	dq'	\Pi'	d\Pi'	r14	dr14	N6	dN6	\beta	i (deg)	di (deg)	sec(i)	q	D(as)	R0(as)	r0	R0/r0	P(in)	P(wind)	P(in)/P(wind)	F(photo)	F(star)	F(ph)/F(*)	*
LV2	0.8	0.5	7.76	0.25	0.01	1.5	0.05	7.6	0.4	2.65	0.23	0.005	65	2.5	2.37 +/- 0.22	0.07	18.4 +/- 1.7	1.29 +/- 0.12	0.123 +/- 0.007	10.49 +/- 1.14	1.9e-7 +/- 4.4e-8	1.9e-8 +/- 3.5e-9	10.00 +/- 2.96	1.70e14 +/- 3.05e13	3.06e13 +/- 5.66e12	5.56 +/- 1.43	x
LV2	0.8	0.5	7.76	0.25	0.01	1.5	0.05	7.6	0.4	2.65	0.23	0.002	67.5	2.5	2.61 +/- 0.28	0.04	20.3 +/- 2.2	0.81 +/- 0.09	0.123 +/- 0.007	6.59 +/- 0.82	4.8e-7 +/- 1.3e-7	1.4e-8 +/- 3.1e-9	34.29 +/- 11.99	1.70e14 +/- 3.05e13	2.52e13 +/- 5.45e12	6.75 +/- 1.90	x
LV2	0.4	3.0	7.76	0.28	0.01	1.2	0.05	7.6	0.4	2.65	0.23	0.02	45	2.5	1.41 +/- 0.06	0.12	10.9 +/- 0.5	1.31 +/- 0.06	0.123 +/- 0.007	10.65 +/- 0.78	1.8e-7 +/- 3.1e-8	6.0e-8 +/- 5.5e-9	3.00 +/- 0.59	1.70e14 +/- 3.05e13	8.73e13 +/- 8.01e12	1.95 +/- 0.39	**
LV2	0.4	3.0	7.76	0.26	0.01	1.45	0.05	7.6	0.4	2.65	0.23	0.001	82.5	2.5	7.66 +/- 2.54	0.03	59.4 +/- 19.7	1.78 +/- 0.59	0.123 +/- 0.007	14.47 +/- 4.87	1.00e-7 +/- 6.8e-8	1.7e-9 +/- 1.1e-9	58.82 +/- 55.22	1.70e14 +/- 3.05e13	2.94e12 +/- 1.95e12	57.82 +/- 39.73	xx
LV2	0.2	8.0	7.76	0.3	0.01	0.85	0.05	7.6	0.4	2.65	0.23	0.1	40	2.5	1.31 +/- 0.05	0.24	10.2 +/- 0.4	2.45 +/- 0.10	0.123 +/- 0.007	19.92 +/- 1.39	5.3e-8 +/- 8.7e-9	9.1e-8 +/- 7.2e-9	0.58 +/- 0.11	1.70e14 +/- 3.05e13	9.97e13 +/- 7.82e12	1.71 +/- 0.33	**
LV2	0.2	8.0	7.76	0.25	0.01	1.45	0.05	7.6	0.4	2.65	0.23	0.0005	87.5	2.5	22.93 +/- 22.91	0.02	177.9 +/- 177.8	3.56 +/- 3.56	0.123 +/- 0.007	28.94 +/- 28.99	2.5e-8 +/- 5.0e-8	1.8e-10 +/- 3.6e-10	138.89 +/- 392.84	1.70e14 +/- 3.05e13	3.28e11 +/- 6.55e11	518.29 +/- 1039.17	xx
LV2	0.2	8.0	7.76	0.31	0.01	0.85	0.05	7.6	0.4	2.65	0.23	0.1	42.5	2.5	1.36 +/- 0.05	0.24	10.6 +/- 0.4	2.54 +/- 0.10	0.123 +/- 0.007	20.65 +/- 1.43	4.9e-8 +/- 8.0e-9	8.5e-8 +/- 6.4e-9	0.58 +/- 0.10	1.70e14 +/- 3.05e13	9.23e13 +/- 6.97e12	1.84 +/- 0.36	**
LV2	0.1	18.0	7.76	0.25	0.01	1.45	0.05	7.6	0.4	2.65	0.23	0.0005	87.5	2.5	22.93 +/- 22.91	0.02	177.9 +/- 177.8	3.56 +/- 3.56	0.123 +/- 0.007	28.94 +/- 28.99	2.5e-8 +/- 5.0e-8	1.8e-10 +/- 3.6e-10	138.89 +/- 392.84	1.70e14 +/- 3.05e13	3.28e11 +/- 6.55e11	518.29 +/- 1039.17	xx
LV2	0.1	18.0	7.76	0.31	0.01	0.65	0.05	7.6	0.4	2.65	0.23	0.1	55	2.5	1.74 +/- 0.11	0.24	13.5 +/- 0.9	3.24 +/- 0.22	0.123 +/- 0.007	26.34 +/- 2.33	3.0e-8 +/- 5.9e-9	5.2e-8 +/- 7.0e-9	0.58 +/- 0.14	1.70e14 +/- 3.05e13	5.69e13 +/- 7.59e12	2.99 +/- 0.67	*
LV2b	1.0	0.0	7.21	0.1	0.01	1.85	0.05	2.4	0.6	4.21	1.21	0.02	17.5	2.5	1.05 +/- 0.01	0.12	7.6 +/- 7e-2	0.91 +/- 8.4e-3	0.039 +/- 0.010	23.33 +/- 5.99	6.1e-8 +/- 3.6e-8	1.2e-7 +/- 2.3e-9	0.51 +/- 0.30	1.38e14 +/- 8.41e13	1.80e14 +/- 3.31e12	0.77 +/- 0.47	**
